THE    DH_IY
USUAL    Y_UW UW_ZH ZH_UW UW_AH AH_L
NORTH    N_AO AO_R R_TH
CHAPTER    CH_AE AE_P P_T T_UH UH_R
HISTORY    HH_IH IH_S S_T T_R R_IY
EXPERIENCE    IH_K K_S S_P P_IH IH_R R_IY IY_AH AH_N N_S
MOVED    M_UW UW_V V_D
CORNER    K_AO AO_R R_N N_UH UH_R
SERVICE    S_UH UH_R R_V V_IH IH_S
SIMPLE    S_IH IH_M M_P P_AH AH_L
SHOWED    SH_AO AO_UH UH_D
EASILY    IY_Z Z_AH AH_L L_IY
SKY    S_K K_AA AA_IY
FORTY    F_AO AO_R R_T T_IY
WRONG    R_AO AO_NG
PRESENCE    P_R R_EH EH_Z Z_AH AH_N N_S
FIELD    F_IY IY_L L_D
ENTIRELY    IH_N N_T T_AA AA_IY IY_UH UH_R R_L L_IY
EXPECTED    IH_K K_S S_P P_EH EH_K K_T T_IH IH_D
QUIET    K_W W_AA AA_IY IY_AH AH_T
LONDON    L_AH AH_N N_D D_AH AH_N
FAST    F_AE AE_S S_T
COULDN'T    K_UH UH_D D_AH AH_N N_T
YOU'RE    Y_UW UW_R
LATTER    L_AE AE_T T_UH UH_R
STRAIGHT    S_T T_R R_EH EH_IY IY_T
SCARCELY    S_K K_EH EH_R R_S S_L L_IY
PETER    P_IY IY_T T_UH UH_R
MARY    M_EH EH_R R_IY
ESPECIALLY    AH_S S_P P_EH EH_SH SH_L L_IY
LEARNED    L_UH UH_R R_N N_IH IH_D
EVIL    IY_V V_AH AH_L
BORN    B_AO AO_R R_N
MONTHS    M_AH AH_N N_TH TH_S
SECRET    S_IY IY_K K_R R_IH IH_T
WISHED    W_IH IH_SH SH_T
CLOTHES    K_L L_AO AO_UH UH_Z
CAT    K_AE AE_T
STOP    S_T T_AA AA_P
KNOWS    N_AO AO_UH UH_Z
FRESH    F_R R_EH EH_SH
CARRY    K_EH EH_R R_IY
WEEK    W_IY IY_K
LADIES    L_EH EH_IY IY_D D_IY IY_Z
DOG    D_AO AO_G
BIRD    B_UH UH_R R_D
CHIEF    CH_IY IY_F
BROWN    B_R R_AA AA_UH UH_N
BOOKS    B_UH UH_K K_S
MOUNTAIN    M_AA AA_UH UH_N N_T T_AH AH_N
MERELY    M_IH IH_R R_L L_IY
JOY    JH_AO AO_IY
TURNING    T_UH UH_R R_N N_IH IH_NG
SEND    S_EH EH_N N_D
COVERED    K_AH AH_V V_UH UH_R R_D
LEAVING    L_IY IY_V V_IH IH_NG
HAPPINESS    HH_AE AE_P P_IY IY_N N_AH AH_S
KILLED    K_IH IH_L L_D
DRESS    D_R R_EH EH_S
FIGURE    F_IH IH_G G_Y Y_UH UH_R
BATTLE    B_AE AE_T T_AH AH_L
OFFICE    AO_F F_AH AH_S
MARRIED    M_EH EH_R R_IY IY_D
BEGINNING    B_IH IH_G G_IH IH_N N_IH IH_NG
RAISED    R_EH EH_IY IY_Z Z_D
MUSIC    M_Y Y_UW UW_Z Z_IH IH_K
CHANGED    CH_EH EH_IY IY_N N_JH JH_D
CAMP    K_AE AE_M M_P
RUNNING    R_AH AH_N N_IH IH_NG
BIT    B_IH IH_T
HOT    HH_AA AA_T
ISLAND    AA_IY IY_L L_AH AH_N N_D
FINALLY    F_AA AA_IY IY_N N_AH AH_L L_IY
DIRECTION    D_IY IY_R R_EH EH_K K_SH SH_IH IH_N
YOUTH    Y_UW UW_TH
WATCH    W_AO AO_CH
PERSONS    P_UH UH_R R_S S_AH AH_N N_Z
CLOSED    K_L L_AO AO_UH UH_Z Z_D
WONDERFUL    W_AH AH_N N_D D_UH UH_R R_F F_AH AH_L
STEP    S_T T_EH EH_P
FORTUNE    F_AO AO_R R_CH CH_UW UW_N
FLOWERS    F_L L_AA AA_UH UH_UH UH_R R_Z
EXPRESSION    IH_K K_S S_P P_R R_EH EH_SH SH_AH AH_N
MORROW    M_AO AO_R R_AO AO_UH
ALLOWED    AH_L L_AA AA_UH UH_D
TERRIBLE    T_EH EH_R R_AH AH_B B_AH AH_L
SILENT    S_AA AA_IY IY_L L_AH AH_N N_T
PLACES    P_L L_EH EH_IY IY_S S_IH IH_Z
SNOW    S_N N_AO AO_UH
SIMPLY    S_IH IH_M M_P P_L L_IY
PARTICULAR    P_UH UH_R R_T T_IH IH_K K_Y Y_AH AH_L L_UH UH_R
GLASS    G_L L_AE AE_S
MEANT    M_EH EH_N N_T
CRY    K_R R_AA AA_IY
TWELVE    T_W W_EH EH_L L_V
CROSS    K_R R_AO AO_S
COUNT    K_AA AA_UH UH_N N_T
CONDITION    K_AH AH_N N_D D_IH IH_SH SH_AH AH_N
UNDERSTOOD    AH_N N_D D_UH UH_R R_S S_T T_UH UH_D
VISIT    V_IH IH_Z Z_IH IH_T
GOLDEN    G_AO AO_UH UH_L L_D D_AH AH_N
CONVERSATION    K_AA AA_N N_V V_UH UH_R R_S S_EH EH_IY IY_SH SH_AH AH_N
TRYING    T_R R_AA AA_IY IY_NG
IMPORTANT    IH_M M_P P_AO AO_R R_T T_AH AH_N N_T
ANNE    AE_N
WINTER    W_IH IH_N N_T T_UH UH_R
ESCAPE    IH_S S_K K_EH EH_IY IY_P
PERFECT    P_UH UH_R R_F F_IH IH_K K_T
HILL    HH_IH IH_L
SIT    S_IH IH_T
PLAIN    P_L L_EH EH_IY IY_N
MOON    M_UW UW_N
ISN'T    IH_Z Z_AH AH_N N_T
GAME    G_EH EH_IY IY_M
AFTERWARDS    AE_F F_T T_UH UH_R R_W W_UH UH_R R_D D_Z
OBSERVED    AH_B B_Z Z_UH UH_R R_V V_D
BREAD    B_R R_EH EH_D
BOX    B_AA AA_K K_S
TEA    T_IY
LEGS    L_EH EH_G G_Z
WOULDN'T    W_UH UH_D D_AH AH_N N_T
UNLESS    AH_N N_L L_EH EH_S
CIRCUMSTANCES    S_UH UH_R R_K K_AH AH_M M_S S_T T_AE AE_N N_S S_IH IH_Z
SURPRISE    S_UH UH_R R_P P_R R_AA AA_IY IY_Z
REACH    R_IY IY_CH
OCCASION    AH_K K_EH EH_IY IY_ZH ZH_AH AH_N
NEWS    N_Y Y_UW UW_Z
WORTH    W_UH UH_R R_TH
THANK    TH_AE AE_NG NG_K
EXISTENCE    IH_G G_Z Z_IH IH_S S_T T_AH AH_N N_S
SHOT    SH_AA AA_T
IDEAS    AA_IY IY_D D_IY IY_AH AH_Z
WRITE    R_AA AA_IY IY_T
WRITTEN    R_IH IH_T T_AH AH_N
REGARD    R_IH IH_G G_AA AA_R R_D
PERFECTLY    P_UH UH_R R_F F_AH AH_K K_T T_L L_IY
MINUTE    M_IH IH_N N_AH AH_T
LIVES    L_IH IH_V V_Z
WISE    W_AA AA_IY IY_Z
SHOOK    SH_UH UH_K
PLEASANT    P_L L_EH EH_Z Z_AH AH_N N_T
AMERICAN    AH_M M_EH EH_R R_IH IH_K K_AH AH_N
STEPS    S_T T_EH EH_P P_S
LIE    L_AA AA_IY
BROKE    B_R R_AO AO_UH UH_K
ANCIENT    EH_IY IY_N N_SH SH_AH AH_N N_T
THREW    TH_R R_UW
ANIMALS    AE_N N_AH AH_M M_AH AH_L L_Z
SILVER    S_IH IH_L L_V V_UH UH_R
WALLS    W_AO AO_L L_Z
WARM    W_AO AO_R R_M
RESPECT    R_IY IY_S S_P P_EH EH_K K_T
ROCK    R_AA AA_K
PROPERTY    P_R R_AA AA_P P_UH UH_R R_T T_IY
INSTANT    IH_N N_S S_T T_AH AH_N N_T
BENEATH    B_IH IH_N N_IY IY_TH
DISCOVERED    D_IH IH_S S_K K_AH AH_V V_UH UH_R R_D
YOU'LL    Y_UW UW_L
SPOT    S_P P_AA AA_T
HOUSES    HH_AA AA_UH UH_S S_IH IH_Z
PAIN    P_EH EH_IY IY_N
LYING    L_AA AA_IY IY_IH IH_NG
EARS    IY_R R_Z
WEST    W_EH EH_S S_T
FUTURE    F_Y Y_UW UW_CH CH_UH UH_R
PALE    P_EH EH_IY IY_L
PASSING    P_AE AE_S S_IH IH_NG
NECK    N_EH EH_K
MADAME    M_AH AH_D D_AE AE_M
FATHER'S    F_AA AA_DH DH_UH UH_R R_Z
MIDDLE    M_IH IH_D D_AH AH_L
O'CLOCK    AH_K K_L L_AA AA_K
FISH    F_IH IH_SH
DROPPED    D_R R_AA AA_P P_T
CONSIDERED    K_AH AH_N N_S S_IH IH_D D_UH UH_R R_D
VARIOUS    V_EH EH_R R_IY IY_AH AH_S
REMAIN    R_IY IY_M M_EH EH_IY IY_N
DIFFICULT    D_IH IH_F F_AH AH_K K_AH AH_L L_T
MERE    M_IH IH_R
PRESENTLY    P_R R_EH EH_Z Z_AH AH_N N_T T_L L_IY
JOURNEY    JH_UH UH_R R_N N_IY
RACE    R_EH EH_IY IY_S
HEADS    HH_EH EH_D D_Z
BUILT    B_IH IH_L L_T
BELIEVED    B_IH IH_L L_IY IY_V V_D
EXACTLY    IH_G G_Z Z_AE AE_K K_T T_L L_IY
DARKNESS    D_AA AA_R R_K K_N N_AH AH_S
PARTS    P_AA AA_R R_T T_S
INFLUENCE    IH_N N_F F_L L_UW UW_AH AH_N N_S
MARRIAGE    M_EH EH_R R_IH IH_JH
PAID    P_EH EH_IY IY_D
APPEAR    AH_P P_IH IH_R
DRESSED    D_R R_EH EH_S S_T
LEAVES    L_IY IY_V V_Z
DETERMINED    D_IH IH_T T_UH UH_R R_M M_AH AH_N N_D
BIRDS    B_UH UH_R R_D D_Z
IRON    AA_IY IY_UH UH_R R_N
LAKE    L_EH EH_IY IY_K
SPEECH    S_P P_IY IY_CH
SOMEWHAT    S_AH AH_M M_W W_AH AH_T
REPLY    R_IY IY_P P_L L_AA AA_IY
PLEASED    P_L L_IY IY_Z Z_D
ENEMY    EH_N N_AH AH_M M_IY
BEGIN    B_IH IH_G G_IH IH_N
ANIMAL    AE_N N_AH AH_M M_AH AH_L
ADD    AE_D
WROTE    R_AO AO_UH UH_T
NOTE    N_AO AO_UH UH_T
HAT    HH_AE AE_T
GREATEST    G_R R_EH EH_IY IY_T T_AH AH_S S_T
FORMED    F_AO AO_R R_M M_D
THICK    TH_IH IH_K
REMEMBERED    R_IY IY_M M_EH EH_M M_B B_UH UH_R R_D
LETTERS    L_EH EH_T T_UH UH_R R_Z
DRAWN    D_R R_AO AO_N
FORGET    F_UH UH_R R_G G_EH EH_T
FIFTEEN    F_IH IH_F F_T T_IY IY_N
CREATURE    K_R R_IY IY_CH CH_UH UH_R
BREATH    B_R R_EH EH_TH
UNITED    Y_UW UW_N N_AA AA_IY IY_T T_IH IH_D
RESULT    R_IY IY_Z Z_AH AH_L L_T
PROPER    P_R R_AA AA_P P_UH UH_R
SPITE    S_P P_AA AA_IY IY_T
SHARP    SH_AA AA_R R_P
LEARN    L_UH UH_R R_N
FAITH    F_EH EH_IY IY_TH
WAYS    W_EH EH_IY IY_Z
GRAVE    G_R R_EH EH_IY IY_V
SURELY    SH_UH UH_R R_L L_IY
PATH    P_AE AE_TH
SEAT    S_IY IY_T
VILLAGE    V_IH IH_L L_IH IH_JH
SHUT    SH_AH AH_T
HUNG    HH_AH AH_NG
TALL    T_AO AO_L
SUMMER    S_AH AH_M M_UH UH_R
LIKELY    L_AA AA_IY IY_K K_L L_IY
I'D    AA_IY IY_D
SPENT    S_P P_EH EH_N N_T
GREATLY    G_R R_EH EH_IY IY_T T_L L_IY
CAREFULLY    K_EH EH_R R_F F_AH AH_L L_IY
BOARD    B_AO AO_R R_D
SHORE    SH_AO AO_R
GROWN    G_R R_AO AO_UH UH_N
DEGREE    D_IH IH_G G_R R_IY
CLASS    K_L L_AE AE_S
KNIGHT    N_AA AA_IY IY_T
DECLARED    D_IH IH_K K_L L_EH EH_R R_D
CASTLE    K_AE AE_S S_AH AH_L
LAWS    L_AO AO_Z
DECIDED    D_IH IH_S S_AA AA_IY IY_D D_IH IH_D
VALLEY    V_AE AE_L L_IY
MOUNTAINS    M_AA AA_UH UH_N N_T T_AH AH_N N_Z
TIRED    T_AA AA_IY IY_UH UH_R R_D
SERVE    S_UH UH_R R_V
SCENE    S_IY IY_N
PROMISE    P_R R_AA AA_M M_AH AH_S
BOTTOM    B_AA AA_T T_AH AH_M
SPACE    S_P P_EH EH_IY IY_S
FORMER    F_AO AO_R R_M M_UH UH_R
CROWD    K_R R_AA AA_UH UH_D
YELLOW    Y_EH EH_L L_AO AO_UH
PRESIDENT    P_R R_EH EH_Z Z_IH IH_D D_AH AH_N N_T
DRAWING    D_R R_AO AO_IH IH_NG
TOUCH    T_AH AH_CH
SMILED    S_M M_AA AA_IY IY_L L_D
DIFFICULTY    D_IH IH_F F_IH IH_K K_AH AH_L L_T T_IY
SUCCESS    S_AH AH_K K_S S_EH EH_S
SIGN    S_AA AA_IY IY_N
SOLDIERS    S_AO AO_UH UH_L L_JH JH_UH UH_R R_Z
SAFE    S_EH EH_IY IY_F
WORSE    W_UH UH_R R_S
SORRY    S_AA AA_R R_IY
COLONEL    K_UH UH_R R_N N_AH AH_L
PERSONAL    P_UH UH_R R_S S_IH IH_N N_IH IH_L
GRACE    G_R R_EH EH_IY IY_S
HOLDING    HH_AO AO_UH UH_L L_D D_IH IH_NG
WATCHED    W_AO AO_CH CH_T
BANK    B_AE AE_NG NG_K
PERIOD    P_IH IH_R R_IY IY_AH AH_D
FINISHED    F_IH IH_N N_IH IH_SH SH_T
SOCIAL    S_AO AO_UH UH_SH SH_AH AH_L
REPEATED    R_IY IY_P P_IY IY_T T_IH IH_D
OURSELVES    AA_UH UH_UH UH_R R_S S_EH EH_L L_V V_Z
KNOWING    N_AO AO_UH UH_IH IH_NG
COMMAND    K_AH AH_M M_AE AE_N N_D
ALTOGETHER    AO_L L_T T_AH AH_G G_EH EH_DH DH_UH UH_R
YORK    Y_AO AO_R R_K
PICTURE    P_IH IH_K K_CH CH_UH UH_R
BOUND    B_AA AA_UH UH_N N_D
LAUGH    L_AE AE_F
BELL    B_EH EH_L
ATTEMPT    AH_T T_EH EH_M M_P P_T
TRAIN    T_R R_EH EH_IY IY_N
FINGERS    F_IH IH_NG NG_G G_UH UH_R R_Z
GRASS    G_R R_AE AE_S
WEATHER    W_EH EH_DH DH_UH UH_R
SURFACE    S_UH UH_R R_F F_AH AH_S
NARROW    N_EH EH_R R_AO AO_UH
FIXED    F_IH IH_K K_S S_T
SITUATION    S_IH IH_CH CH_UW UW_EH EH_IY IY_SH SH_AH AH_N
GOES    G_AO AO_UH UH_Z
FRANCE    F_R R_AE AE_N N_S
EQUAL    IY_K K_W W_AH AH_L
LISTEN    L_IH IH_S S_AH AH_N
JANE    JH_EH EH_IY IY_N
EVERYBODY    EH_V V_R R_IY IY_B B_AA AA_D D_IY
SAD    S_AE AE_D
POCKET    P_AA AA_K K_AH AH_T
LOT    L_AO AO_T
LOOKS    L_UH UH_K K_S
CAST    K_AE AE_S S_T
NOTICED    N_AO AO_UH UH_T T_AH AH_S S_T
MOVE    M_UW UW_V
STRANGER    S_T T_R R_EH EH_IY IY_N N_JH JH_UH UH_R
QUICK    K_W W_IH IH_K
EFFORT    EH_F F_UH UH_R R_T
FORGOTTEN    F_UH UH_R R_G G_AA AA_T T_AH AH_N
BREAK    B_R R_EH EH_IY IY_K
OPPOSITE    AA_P P_Z Z_AH AH_T
NOTICE    N_AO AO_UH UH_T T_IH IH_S
CONSIDER    K_AH AH_N N_S S_IH IH_D D_UH UH_R
NOBODY    N_AO AO_UH UH_B B_AH AH_D D_IY
LOWER    L_AO AO_UH UH_UH UH_R
FALLEN    F_AA AA_L L_AH AH_N
WAITED    W_EH EH_IY IY_T T_IH IH_D
SHADOW    SH_AE AE_D D_AO AO_UH
ANXIOUS    AE_NG NG_SH SH_AH AH_S
WALKING    W_AO AO_K K_IH IH_NG
CARRIAGE    K_EH EH_R R_AH AH_JH
GENERALLY    JH_EH EH_N N_R R_AH AH_L L_IY
GATE    G_EH EH_IY IY_T
FEELINGS    F_IY IY_L L_IH IH_NG NG_Z
NOISE    N_AO AO_IY IY_Z
MARRY    M_EH EH_R R_IY
LOSE    L_UW UW_Z
LAD    L_AE AE_D
GRAY    G_R R_EH EH_IY
DRINK    D_R R_IH IH_NG NG_K
SPREAD    S_P P_R R_EH EH_D
BREAKFAST    B_R R_EH EH_K K_F F_AH AH_S S_T
WASN'T    W_AH AH_Z Z_AH AH_N N_T
START    S_T T_AA AA_R R_T
MEANING    M_IY IY_N N_IH IH_NG
LINES    L_AA AA_IY IY_N N_Z
LANGUAGE    L_AE AE_NG NG_G G_W W_IH IH_JH
WOODS    W_UH UH_D D_Z
ONES    W_AH AH_N N_Z
OBLIGED    AH_B B_L L_AA AA_IY IY_JH JH_D
EDGE    EH_JH
TOUCHED    T_AH AH_CH CH_T
SUFFICIENT    S_AH AH_F F_IH IH_SH SH_AH AH_N N_T
ORDINARY    AO_R R_D D_AH AH_N N_EH EH_R R_IY
OPPORTUNITY    AA_P P_UH UH_R R_T T_UW UW_N N_AH AH_T T_IY
LEAD    L_IY IY_D
BUILDING    B_IH IH_L L_D D_IH IH_NG
PIECES    P_IY IY_S S_IH IH_Z
HENRY    HH_EH EH_N N_R R_IY
WHISPERED    W_IH IH_S S_P P_UH UH_R R_D
USUALLY    Y_UW UW_ZH ZH_AH AH_W W_AH AH_L L_IY
PRIVATE    P_R R_AA AA_IY IY_V V_AH AH_T
SURPRISED    S_UH UH_R R_P P_R R_AA AA_IY IY_Z Z_D
FINDING    F_AA AA_IY IY_N N_D D_IH IH_NG
EVIDENTLY    EH_V V_AH AH_D D_AH AH_N N_T T_L L_IY
ANGRY    AE_NG NG_G G_R R_IY
SWORD    S_AO AO_R R_D
SIDES    S_AA AA_IY IY_D D_Z
ROYAL    R_AO AO_IY IY_AH AH_L
DOLLARS    D_AO AO_L L_UH UH_R R_Z
INSIDE    IH_N N_S S_AA AA_IY IY_D
SHOULDER    SH_AO AO_UH UH_L L_D D_UH UH_R
GLANCE    G_L L_AE AE_N N_S
COAT    K_AO AO_UH UH_T
BROAD    B_R R_AO AO_D
ALLOW    AH_L L_AA AA_UH
PREPARED    P_R R_IY IY_P P_EH EH_R R_D
OFFERED    AO_F F_UH UH_R R_D
SICK    S_IH IH_K
READING    R_IY IY_D D_IH IH_NG
JUDGE    JH_AH AH_JH
HIGHER    HH_AA AA_IY IY_UH UH_R
GROW    G_R R_AO AO_UH
RISE    R_AA AA_IY IY_Z
PRIDE    P_R R_AA AA_IY IY_D
GENTLEMEN    JH_EH EH_N N_T T_AH AH_L L_M M_IH IH_N
SERVANT    S_UH UH_R R_V V_AH AH_N N_T
FIT    F_IH IH_T
EMPTY    EH_M M_T T_IY
COURAGE    K_UH UH_R R_IH IH_JH
CHARGE    CH_AA AA_R R_JH
WINDOWS    W_IH IH_N N_D D_AO AO_UH UH_Z
TASTE    T_EH EH_IY IY_S S_T
GEORGE    JH_AO AO_R R_JH
EAST    IY_S S_T
QUESTIONS    K_W W_EH EH_S S_CH CH_AH AH_N N_Z
MEMORY    M_EH EH_M M_UH UH_R R_IY
BEAT    B_IY IY_T
VALUE    V_AE AE_L L_Y Y_UW
QUIETLY    K_W W_AA AA_IY IY_AH AH_T T_L L_IY
LIKED    L_AA AA_IY IY_K K_T
ATTACK    AH_T T_AE AE_K
SPOKEN    S_P P_AO AO_UH UH_K K_AH AH_N
SAKE    S_EH EH_IY IY_K
DRY    D_R R_AA AA_IY
COMFORT    K_AH AH_M M_F F_UH UH_R R_T
OPENING    AO_UH UH_P P_AH AH_N N_IH IH_NG
NICE    N_IY IY_S
DIFFERENCE    D_IH IH_F F_R R_AH AH_N N_S
CAUSED    K_AO AO_Z Z_D
QUARTER    K_W W_AO AO_R R_T T_UH UH_R
DUE    D_Y Y_UW
SUPPOSED    S_AH AH_P P_AO AO_UH UH_Z Z_D
MATTERS    M_AE AE_T T_UH UH_R R_Z
WE'LL    W_IY IY_L
NOBLE    N_AO AO_UH UH_B B_AH AH_L
KILL    K_IH IH_L
DARE    D_EH EH_R
COMPLETE    K_AH AH_M M_P P_L L_IY IY_T
SEVENTEEN    S_EH EH_V V_AH AH_N N_T T_IY IY_N
RAIN    R_EH EH_IY IY_N
ORDERED    AO_R R_D D_UH UH_R R_D
GUARD    G_AA AA_R R_D
SHOULDERS    SH_AO AO_UH UH_L L_D D_UH UH_R R_Z
SETTLED    S_EH EH_T T_AH AH_L L_D
HONOUR    AA_N N_UH UH_R
GROWING    G_R R_AO AO_UH UH_IH IH_NG
BROTHERS    B_R R_AH AH_DH DH_UH UH_R R_Z
ALIVE    AH_L L_AA AA_IY IY_V
THROWN    TH_R R_AO AO_UH UH_N
HILLS    HH_IH IH_L L_Z
PROVED    P_R R_UW UW_V V_D
CONTRARY    K_AH AH_N N_T T_R R_EH EH_R R_IY
SIXTY    S_IH IH_K K_S S_T T_IY
FACES    F_EH EH_IY IY_S S_IH IH_Z
AMERICA    AH_M M_EH EH_R R_IH IH_K K_AH
WHAT'S    W_AH AH_T T_S
THIN    TH_IH IH_N
SHAPE    SH_EH EH_IY IY_P
INSTANCE    IH_N N_S S_T T_AH AH_N N_S
ENTER    EH_N N_T T_UH UH_R
KING'S    K_IH IH_NG NG_Z
AUTHORITY    AH_TH TH_AO AO_R R_AH AH_T T_IY
SERIOUS    S_IH IH_R R_IY IY_AH AH_S
PROMISED    P_R R_AA AA_M M_AH AH_S S_T
LISTENED    L_IH IH_S S_AH AH_N N_D
JUSTICE    JH_AH AH_S S_T T_IH IH_S
GATHERED    G_AE AE_DH DH_UH UH_R R_D
COMPANION    K_AH AH_M M_P P_AE AE_N N_Y Y_AH AH_N
BUTTER    B_AH AH_T T_UH UH_R
PARIS    P_EH EH_R R_IH IH_S
YOU'VE    Y_UW UW_V
LIFTED    L_IH IH_F F_T T_IH IH_D
STREETS    S_T T_R R_IY IY_T T_S
FORCED    F_AO AO_R R_S S_T
CURIOUS    K_Y Y_UH UH_R R_IY IY_AH AH_S
TRUST    T_R R_AH AH_S S_T
MEASURE    M_EH EH_ZH ZH_UH UH_R
WORKED    W_UH UH_R R_K K_T
VAST    V_AE AE_S S_T
RODE    R_AO AO_UH UH_D
RECEIVE    R_IY IY_S S_IY IY_V
NOSE    N_AO AO_UH UH_Z
WATCHING    W_AA AA_CH CH_IH IH_NG
STUDY    S_T T_AH AH_D D_IY
SEIZED    S_IY IY_Z Z_D
MEETING    M_IY IY_T T_IH IH_NG
FANCY    F_AE AE_N N_S S_IY
ASLEEP    AH_S S_L L_IY IY_P
WEEKS    W_IY IY_K K_S
TONGUE    T_AH AH_NG
PRODUCED    P_R R_AH AH_D D_UW UW_S S_T
KITCHEN    K_IH IH_CH CH_AH AH_N
PRINCIPLE    P_R R_IH IH_N N_S S_AH AH_P P_AH AH_L
IMAGINE    IH_M M_AE AE_JH JH_AH AH_N
EXPECT    IH_K K_S S_P P_EH EH_K K_T
SEVENTY    S_EH EH_V V_AH AH_N N_T T_IY
RISING    R_AA AA_IY IY_Z Z_IH IH_NG
LIBERTY    L_IH IH_B B_UH UH_R R_T T_IY
TAIL    T_EH EH_IY IY_L
PUTTING    P_UH UH_T T_IH IH_NG
STREAM    S_T T_R R_IY IY_M
PROVE    P_R R_UW UW_V
OFFICERS    AO_F F_IH IH_S S_UH UH_R R_Z
AFFAIRS    AH_F F_EH EH_R R_Z
WINE    W_AA AA_IY IY_N
ORDERS    AO_R R_D D_UH UH_R R_Z
MAIN    M_EH EH_IY IY_N
FATE    F_EH EH_IY IY_T
FAILED    F_EH EH_IY IY_L L_D
STONES    S_T T_AO AO_UH UH_N N_Z
SATISFIED    S_AE AE_T T_IH IH_S S_F F_AA AA_IY IY_D
ROCKS    R_AA AA_K K_S
PLAN    P_L L_AE AE_N
HANDSOME    HH_AE AE_N N_S S_AH AH_M
VAIN    V_EH EH_IY IY_N
SERVANTS    S_UH UH_R R_V V_AH AH_N N_T T_S
MOMENTS    M_AO AO_UH UH_M M_AH AH_N N_T T_S
LOSS    L_AO AO_S
GENTLE    JH_EH EH_N N_T T_AH AH_L
CASES    K_EH EH_IY IY_S S_IH IH_Z
WRITING    R_AA AA_IY IY_T T_IH IH_NG
RATE    R_EH EH_IY IY_T
ONE'S    W_AH AH_N N_Z
HEARING    HH_IY IY_R R_IH IH_NG
HABIT    HH_AE AE_B B_AH AH_T
EAR    IY_R
DOESN'T    D_AH AH_Z Z_AH AH_N N_T
DIRECTLY    D_IY IY_R R_EH EH_K K_L L_IY
INDIANS    IH_N N_D D_IY IY_AH AH_N N_Z
HEALTH    HH_EH EH_L L_TH
HAPPEN    HH_AE AE_P P_AH AH_N
CATCH    K_AE AE_CH
GUESS    G_EH EH_S
EM    EH_M
TALKED    T_AO AO_K K_T
RING    R_IH IH_NG
KINGDOM    K_IH IH_NG NG_D D_AH AH_M
HEAT    HH_IY IY_T
ENGAGED    EH_N N_G G_EH EH_IY IY_JH JH_D
POSSESSION    P_AH AH_Z Z_EH EH_SH SH_AH AH_N
POLITICAL    P_AH AH_L L_IH IH_T T_IH IH_K K_AH AH_L
MARK    M_AA AA_R R_K
BALL    B_AO AO_L
AWARE    AH_W W_EH EH_R
INDIVIDUAL    IH_N N_D D_AH AH_V V_IH IH_JH JH_AH AH_W W_AH AH_L
CONDUCT    K_AH AH_N N_D D_AH AH_K K_T
BLOW    B_L L_AO AO_UH
NAMED    N_EH EH_IY IY_M M_D
BABY    B_EH EH_IY IY_B B_IY
ASIDE    AH_S S_AA AA_IY IY_D
UNKNOWN    AH_N N_N N_AO AO_UH UH_N
TELLING    T_EH EH_L L_IH IH_NG
PLAYED    P_L L_EH EH_IY IY_D
OFFER    AO_F F_UH UH_R
FASHION    F_AE AE_SH SH_AH AH_N
SPECIES    S_P P_IY IY_SH SH_IY IY_Z
MOVING    M_UW UW_V V_IH IH_NG
MIGHTY    M_AA AA_IY IY_T T_IY
LAUGHING    L_AE AE_F F_IH IH_NG
SALT    S_AO AO_L L_T
RELIGION    R_IY IY_L L_IH IH_JH JH_AH AH_N
INTERESTING    IH_N N_T T_R R_IH IH_S S_T T_IH IH_NG
EXAMPLE    IH_G G_Z Z_AE AE_M M_P P_AH AH_L
SUPPER    S_AH AH_P P_UH UH_R
POSSESSED    P_AH AH_Z Z_EH EH_S S_T
NEARER    N_IH IH_R R_UH UH_R
INDIAN    IH_N N_D D_IY IY_AH AH_N
FALLING    F_AA AA_L L_IH IH_NG
BENT    B_EH EH_N N_T
TWICE    T_W W_AA AA_IY IY_S
FORMS    F_AO AO_R R_M M_Z
WEALTH    W_EH EH_L L_TH
PULLED    P_UH UH_L L_D
MOVEMENT    M_UW UW_V V_M M_AH AH_N N_T
CARRYING    K_EH EH_R R_IY IY_IH IH_NG
BURST    B_UH UH_R R_S S_T
AGREED    AH_G G_R R_IY IY_D
WORKING    W_UH UH_R R_K K_IH IH_NG
WILLIAM    W_IH IH_L L_Y Y_AH AH_M
TERMS    T_UH UH_R R_M M_Z
SQUARE    S_K K_W W_EH EH_R
EXCELLENT    EH_K K_S S_AH AH_L L_AH AH_N N_T
DOORS    D_AO AO_R R_Z
BODIES    B_AA AA_D D_IY IY_Z
YOURS    Y_UH UH_R R_Z
REQUIRED    R_IY IY_K K_W W_AA AA_IY IY_R R_D
NEEDED    N_IY IY_D D_IH IH_D
SHIPS    SH_IH IH_P P_S
GODS    G_AA AA_D D_Z
COUSIN    K_AH AH_Z Z_AH AH_N
TAKES    T_EH EH_IY IY_K K_S
SEEK    S_IY IY_K
HURT    HH_UH UH_R R_T
CHAMBER    CH_EH EH_IY IY_M M_B B_UH UH_R
ICE    AA_IY IY_S
FRIGHTENED    F_R R_AA AA_IY IY_T T_AH AH_N N_D
LOVELY    L_AH AH_V V_L L_IY
EVENTS    IY_V V_EH EH_N N_T T_S
STAIRS    S_T T_EH EH_R R_Z
